id,identifier,NAZWA,ULICA,KOD pocztowy,MIASTO,WOJEWÓDZTWO,name,,health_fund
57,667,Powiatowy Szpital w Aleksandrowie Kujawskim Sp. z o.o.,Słowackiego 18,87-700,Aleksandrów Kujawski,kujawsko-pomorskie,"Powiatowy Szpital w Aleksandrowie Kujawskim Sp. z o.o., ul. Słowackiego 18, 87-700 Aleksandrów Kujawski",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
58,689,Zespół Opieki Zdrowotnej w Brodnicy,Wiejska 9,87-300,Brodnica,kujawsko-pomorskie,"Zespół Opieki Zdrowotnej w Brodnicy, ul. Wiejska 9, 87-300 Brodnica",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
59,1142,Samodzielny Publiczny Wielospecjalistyczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych,ks. R. Markwarta 4-6,85-015,Bydgoszcz,kujawsko-pomorskie,"Samodzielny Publiczny Wielospecjalistyczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych, ul. ks. R. Markwarta 4-6, 85-015 Bydgoszcz",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
60,698,Szpital Uniwersytecki nr 2 im. dr. J. Biziela w Bydgoszczy,Ujejskiego 75,85-168,Bydgoszcz,kujawsko-pomorskie,"Szpital Uniwersytecki nr 2 im. dr. J. Biziela w Bydgoszczy, ul. Ujejskiego 75, 85-168 Bydgoszcz",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
61,699,Wielospecjalistyczny Szpital Miejski im. E. Warmińskiego,Szpitalna 19,85-826,Bydgoszcz,kujawsko-pomorskie,"Wielospecjalistyczny Szpital Miejski im. E. Warmińskiego, ul. Szpitalna 19, 85-826 Bydgoszcz",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
62,705,ZOZ Chełmno,Pl. Rydygiera 1,86-200,Chełmno,kujawsko-pomorskie,"ZOZ Chełmno, ul. Pl. Rydygiera 1, 86-200 Chełmno",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
63,706,Szpital Powiatowy Sp. z o o. Zespół Opieki Zdrowotnej,Szewska 23,87-140,Chełmża,kujawsko-pomorskie,"Szpital Powiatowy Sp. z o o. Zespół Opieki Zdrowotnej, ul. Szewska 23, 87-140 Chełmża",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
64,751,Szpital Powiatowy w Golubiu Dobrzyniu,Dr J.G. Koppa 1e,87-400,Golub-Dobrzyń,kujawsko-pomorskie,"Szpital Powiatowy w Golubiu Dobrzyniu, ul. Dr J.G. Koppa 1e, 87-400 Golub-Dobrzyń",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
65,760,Regionalny Szpital Specjalistyczny im. Władysława Biegańskiego,Rydygiera 15/17,86-300,Grudziądz,kujawsko-pomorskie,"Regionalny Szpital Specjalistyczny im. Władysława Biegańskiego, ul. Rydygiera 15/17, 86-300 Grudziądz",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
66,768,Publiczny Specjalistyczny ZOZ Szpital Powiatowy im. dra Błażka,Poznańska 97,88-100,Inowrocław,kujawsko-pomorskie,"Publiczny Specjalistyczny ZOZ Szpital Powiatowy im. dra Błażka, ul. Poznańska 97, 88-100 Inowrocław",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
67,836,"Lech Bramorski Niepubliczny Zakład Usług Medycznych ""BRA-MED.""",Księżycowa 18,87-600,Lipno,kujawsko-pomorskie,"Lech Bramorski Niepubliczny Zakład Usług Medycznych ""BRA-MED."", ul. Księżycowa 18, 87-600 Lipno",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
68,1119,Szpital Lipno Sp. z o.o.,Nieszawska 6,87-600,Lipno,kujawsko-pomorskie,"Szpital Lipno Sp. z o.o., ul. Nieszawska 6, 87-600 Lipno",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
69,954,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Szpitalna 3,88-200,Radziejów,kujawsko-pomorskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Szpitalna 3, 88-200 Radziejów",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
70,962,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Rypinie im. Franciszka Dłutka,2003 maja 2,87-500,Rypin,kujawsko-pomorskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Rypinie im. Franciszka Dłutka, ul. 2003 maja 2, 87-500 Rypin",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
71,998,Samodzielny Publiczny Zakład Opieki Zdrowotnej Mogilno Szpital Powiatowy - Strzelno,Powstania Wielkopolskiego 8,88-320,Strzelno,kujawsko-pomorskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej Mogilno Szpital Powiatowy - Strzelno, ul. Powstania Wielkopolskiego 8, 88-320 Strzelno",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
72,1024,NZOZ Nowy Szpital w Nakle i Szubinie,Ogrodowa 3,89-200,Szubin,kujawsko-pomorskie,"NZOZ Nowy Szpital w Nakle i Szubinie, ul. Ogrodowa 3, 89-200 Szubin",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
73,1008,NZOZ Nowy Szpital Sp. z o. o.,Wojska Polskiego 126,86-100,Świecie,kujawsko-pomorskie,"NZOZ Nowy Szpital Sp. z o. o., ul. Wojska Polskiego 126, 86-100 Świecie",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
74,1033,Wojewódzki Szpital Zespolony im. L.Rydygiera,Św. Józefa 53/59,87-100,Toruń,kujawsko-pomorskie,"Wojewódzki Szpital Zespolony im. L.Rydygiera, ul. Św. Józefa 53/59, 87-100 Toruń",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
75,1036,Szpital Tucholski Sp z o.o.,Nowodworskiego 14/18,89-500,Tuchola,kujawsko-pomorskie,"Szpital Tucholski Sp z o.o., ul. Nowodworskiego 14/18, 89-500 Tuchola",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
76,1066,Novum Med. Sp. z o.o. Szpital Powiatowy im. dr A. Gacy i dr J. Łaskiego,Mickiewicza 26,89-410,Więcbork,kujawsko-pomorskie,"Novum Med. Sp. z o.o. Szpital Powiatowy im. dr A. Gacy i dr J. Łaskiego, ul. Mickiewicza 26, 89-410 Więcbork",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
77,1069,Wojewódzki Szpital Specjalistyczny,Wieniecka 49,87-800,Włocławek,kujawsko-pomorskie,"Wojewódzki Szpital Specjalistyczny, ul. Wieniecka 49, 87-800 Włocławek",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
78,1102,Pałuckie Centrum Zdrowia Sp.z o.o.,Szpitalna 30,88-400,Żnin,kujawsko-pomorskie,"Pałuckie Centrum Zdrowia Sp.z o.o., ul. Szpitalna 30, 88-400 Żnin",Kujawsko-Pomorski Oddział Narodowego Funduszu Zdrowia w Bydgoszczy,2
79,673,Samodzielny Publiczny Zespół Opieki Zdrowotnej nr. 1 w Bełżycach,Przemyśłowa 44,24-200,Bełżyce,lubelskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej nr. 1 w Bełżycach, ul. Przemyśłowa 44, 24-200 Bełżyce",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
80,674,Wojewódzki Szpital Specjalistyczny,Terebelska 57/65,21-500,Biała Podlaska,lubelskie,"Wojewódzki Szpital Specjalistyczny, ul. Terebelska 57/65, 21-500 Biała Podlaska",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
81,682,Arion Szpitale Sp.z o.o. Zespół Opieki Zdrowotnej Biłgoraj,Dr Pojaska 5,23-400,Biłgoraj,lubelskie,"Arion Szpitale Sp.z o.o. Zespół Opieki Zdrowotnej Biłgoraj, ul. Dr Pojaska 5, 23-400 Biłgoraj",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
82,704,Samodzielny Publiczny Wojewódzki Szpital Specjalistyczny,Szpitalna 53B,22-100,Chełm,lubelskie,"Samodzielny Publiczny Wojewódzki Szpital Specjalistyczny, ul. Szpitalna 53B, 22-100 Chełm",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
83,765,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Piłsudskiego 11,22-500,Hrubieszów,lubelskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Piłsudskiego 11, 22-500 Hrubieszów",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
84,769,Samodzielny Pubłiczny Zespół Zakładów Opieki Zdrowotnej w Janowie Lubelskim,Zamoyskiego 149,23-300,Janów Lubelski,lubelskie,"Samodzielny Pubłiczny Zespół Zakładów Opieki Zdrowotnej w Janowie Lubelskim, ul. Zamoyskiego 149, 23-300 Janów Lubelski",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
85,817,Samodzielny Publiczny Zespół Opieki Zdrowotnej,Sobieskiego 4b,22-300,Krasnystaw,lubelskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej, ul. Sobieskiego 4b, 22-300 Krasnystaw",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
86,816,Samodzielny Publiczny Zakład Opieki Zdrowotnej,ul. Chopina 13 (o.gin.-poł)/al. Niepodległości 25,23-210,Kraśnik,lubelskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. ul. Chopina 13 (o.gin.-poł)/al. Niepodległości 25, 23-210 Kraśnik",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
87,848,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Cicha 14,21-100,Lubartów,lubelskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Cicha 14, 21-100 Lubartów",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
88,850,"Samodzielny Publiczny Szpital Kliniczny nr 1, Klinika Położnictwa i Patologii Ciąży Uniwersytetu Medycznego",Staszica 16,20-081,Lublin,lubelskie,"Samodzielny Publiczny Szpital Kliniczny nr 1, Klinika Położnictwa i Patologii Ciąży Uniwersytetu Medycznego, ul. Staszica 16, 20-081 Lublin",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
89,851,Samodzielny Publiczny Szpital Kliniczny nr 4 Klinika Położnictwa i Perinatologii,Jaczewskiego 8,20-954,Lublin,lubelskie,"Samodzielny Publiczny Szpital Kliniczny nr 4 Klinika Położnictwa i Perinatologii, ul. Jaczewskiego 8, 20-954 Lublin",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
90,853,Samodzielny Publiczny Szpital Wojewódzki im. Jana Bożego,Lubartowska 81,20-123,Lublin,lubelskie,"Samodzielny Publiczny Szpital Wojewódzki im. Jana Bożego, ul. Lubartowska 81, 20-123 Lublin",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
91,852,Wojewódzki Szpital Specjalistyczny im. Kardynała Stefana Wyszyńskiego Samodzielny Publiczny Zakład Opieki Zdrowotnej,Al. Kraśnicka 100,20-718,Lublin,lubelskie,"Wojewódzki Szpital Specjalistyczny im. Kardynała Stefana Wyszyńskiego Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Al. Kraśnicka 100, 20-718 Lublin",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
92,855,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Andrzeja Rogalińskiego 3,21-400,Łuków,lubelskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Andrzeja Rogalińskiego 3, 21-400 Łuków",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
93,861,Samodzielny Publiczny Zespół Opieki Zdrowotnej Szpital Powiatowy,Warszawska 2-4,21-560,Międzyrzec Podlaski,lubelskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej Szpital Powiatowy, ul. Warszawska 2-4, 21-560 Międzyrzec Podlaski",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
94,914,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Parczewie,Kościelna 136,21-200,Parczew,lubelskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Parczewie, ul. Kościelna 136, 21-200 Parczew",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
95,945,Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Specjalistyczny,Bema 1,24-100,Puławy,lubelskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Specjalistyczny, ul. Bema 1, 24-100 Puławy",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
96,955,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Wisznicka 111,21-300,Radzyń Podlaski,lubelskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Wisznicka 111, 21-300 Radzyń Podlaski",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
97,1005,Samodzielny Publiczny Zakład Opieki Zdrowotnej,al. Lotników Polskich 18,21-040,Świdnik,lubelskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. al. Lotników Polskich 18, 21-040 Świdnik",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
98,1031,Samodzielny Publiczny Zespół Opieki Zdrowotnej,Al. Grunwaldzkie 1,22-600,Tomaszów Lubelski,lubelskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej, ul. Al. Grunwaldzkie 1, 22-600 Tomaszów Lubelski",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
99,1070,Samodzielny Publiczny Zespół Opieki Zdrowotnej,Al. Piłsudskiego 64,22-200,Włodawa,lubelskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej, ul. Al. Piłsudskiego 64, 22-200 Włodawa",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
100,1092,Samodzielny Publiczny Szpital Wojewódzki im. Papieża Jana Pawła II,Al. Jana Pawła II 10,22-400,Zamość,lubelskie,"Samodzielny Publiczny Szpital Wojewódzki im. Papieża Jana Pawła II, ul. Al. Jana Pawła II 10, 22-400 Zamość",Lubelski Oddział Narodowego Funduszu Zdrowia w Lublinie,3
101,727,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Piłsudskiego 8,66-530,Drezdenko,lubuskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Piłsudskiego 8, 66-530 Drezdenko",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
102,753,Wielospecjalistyczny Szpital Wojewódzki Sp. z o.o.,Dekerta 1,66-400,Gorzów Wielkopolski,lubuskie,"Wielospecjalistyczny Szpital Wojewódzki Sp. z o.o., ul. Dekerta 1, 66-400 Gorzów Wielkopolski",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
103,803,Nowy Szpital z Kostrzynie nad Odra Sp. z o.o.,Narutowicza 6,66-470,Kostrzyń nad Odrą,lubuskie,"Nowy Szpital z Kostrzynie nad Odra Sp. z o.o., ul. Narutowicza 6, 66-470 Kostrzyń nad Odrą",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
104,818,Nowy Szpital Powiatu Krośnieńskiego Sp. z o.o.,Piastów 3,66-600,Krosno Odrzańskie,lubuskie,"Nowy Szpital Powiatu Krośnieńskiego Sp. z o.o., ul. Piastów 3, 66-600 Krosno Odrzańskie",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
105,862,Szpital Międzyrzecki Sp. z o.o.,Konstytucji 3 Maja 35,66-300,Międzyrzecz,lubuskie,"Szpital Międzyrzecki Sp. z o.o., ul. Konstytucji 3 Maja 35, 66-300 Międzyrzecz",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
106,881,Wielospecjalistyczny Szpital Samodzielny Publiczny Zakład Opieki Zdrowotnej,Chałubińskiego 7,67-100,Nowa Sól,lubuskie,"Wielospecjalistyczny Szpital Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Chałubińskiego 7, 67-100 Nowa Sól",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
107,978,Niepubliczny Zakład Opieki Zdrowotnej. Szpital im. dr n. med. Radzimira Śmigielskiego,Szpitalna 5,66-440,Skwierzyna,lubuskie,"Niepubliczny Zakład Opieki Zdrowotnej. Szpital im. dr n. med. Radzimira Śmigielskiego, ul. Szpitalna 5, 66-440 Skwierzyna",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
108,980,"NZOZ ""Szpital Powiatowy"" w Słubicach Sp. z o.o.",Nadodrzańska 6,69-100,Słubice,lubuskie,"NZOZ ""Szpital Powiatowy"" w Słubicach Sp. z o.o., ul. Nadodrzańska 6, 69-100 Słubice",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
